震级,time,纬度,经度,深度,place
3.1,2024-07-11 06:12:08,40.81,84.13,10,新疆巴音郭楞州尉犁县
3.0,2024-07-11 03:49:25,29.97,86.99,10,西藏日喀则市昂仁县
3.1,2024-07-10 21:38:15,30.15,82.67,10,西藏日喀则市仲巴县
3.8,2024-07-10 21:34:42,40.81,84.16,15,新疆巴音郭楞州尉犁县
3.2,2024-07-10 04:05:57,40.13,77.28,24,新疆克孜勒苏州阿图什市
3.3,2024-07-10 03:17:59,34.25,86.52,10,西藏那曲市尼玛县
3.6,2024-07-08 16:07:19,32.61,119.6,8,江苏扬州市江都区
3.4,2024-07-07 16:02:04,40.77,83.42,24,新疆阿克苏地区沙雅县
3.2,2024-07-07 13:15:22,40.87,84.16,18,新疆巴音郭楞州尉犁县
3.4,2024-07-07 10:56:42,29.27,105.5,8,四川泸州市泸县
3.8,2024-07-06 13:34:45,26.72,100.84,10,云南丽江市永胜县
4.8,2024-07-05 06:04:27,40.86,84.15,20,新疆巴音郭楞州尉犁县
3.0,2024-07-05 00:51:43,42.68,83.11,10,新疆巴音郭楞州和静县
3.4,2024-07-04 14:02:40,40.84,84.17,10,新疆巴音郭楞州尉犁县
3.7,2024-07-03 14:10:30,40.81,84.11,15,新疆巴音郭楞州尉犁县
3.2,2024-07-03 09:04:16,25.45,106.56,10,贵州黔南州罗甸县
3.2,2024-06-30 21:46:59,40.91,84.16,17,新疆巴音郭楞州尉犁县
3.0,2024-06-28 19:06:22,42.27,81.15,15,新疆伊犁州昭苏县
3.1,2024-06-28 13:59:34,28.34,104.97,9,四川宜宾市长宁县
3.5,2024-06-28 10:53:33,25.53,106.63,8,贵州黔南州罗甸县
3.2,2024-06-28 03:38:24,39.76,74.42,10,新疆克孜勒苏州乌恰县
3.0,2024-06-28 00:08:58,26.79,100.85,10,云南丽江市永胜县
3.1,2024-06-27 12:29:57,41.16,78.65,13,新疆克孜勒苏州阿合奇县
3.6,2024-06-27 09:28:16,25.44,106.55,10,贵州黔南州罗甸县
4.4,2024-06-26 16:36:12,26.78,100.85,15,云南丽江市永胜县
3.3,2024-06-26 16:30:15,26.78,100.85,14,云南丽江市永胜县
4.5,2024-06-26 16:19:06,26.78,100.84,15,云南丽江市永胜县
3.3,2024-06-26 11:54:59,41.11,90.48,35,新疆巴音郭楞州若羌县
3.3,2024-06-26 06:48:53,25.4,106.59,10,贵州黔南州罗甸县
3.6,2024-06-25 13:25:21,40.88,84.16,15,新疆巴音郭楞州尉犁县
3.4,2024-06-25 13:25:00,40.85,84.16,15,新疆巴音郭楞州尉犁县
4.9,2024-06-24 13:36:10,40.95,84.1,18,新疆巴音郭楞州尉犁县
3.1,2024-06-24 12:59:55,41.31,83.85,10,新疆阿克苏地区库车市
3.1,2024-06-24 07:48:31,25.47,106.54,10,贵州黔南州罗甸县
3.7,2024-06-23 23:36:13,40.87,84.13,17,新疆巴音郭楞州尉犁县
4.9,2024-06-23 22:27:09,23.84,121.71,19,台湾花莲县海域
3.4,2024-06-23 22:11:30,34.11,86.41,10,西藏那曲市尼玛县
4.2,2024-06-23 20:42:48,33.92,86.26,10,西藏阿里地区改则县
4.6,2024-06-23 20:40:17,33.99,86.25,10,西藏那曲市尼玛县
3.0,2024-06-23 19:15:25,40.81,84.11,10,新疆巴音郭楞州尉犁县
3.5,2024-06-23 16:27:49,25.38,106.55,10,贵州黔南州罗甸县
3.1,2024-06-23 16:08:07,25.45,106.56,13,贵州黔南州罗甸县
3.3,2024-06-23 03:00:39,40.81,84.14,11,新疆巴音郭楞州尉犁县
3.4,2024-06-22 13:43:14,41.17,83.34,17,新疆阿克苏地区库车市
2.6,2024-06-21 01:52:20,25.44,106.56,10,贵州黔南州罗甸县
3.0,2024-06-21 01:18:22,25.46,106.57,8,贵州黔南州罗甸县
4.8,2024-06-20 19:36:08,40.21,77.68,10,新疆克孜勒苏州阿图什市
4.1,2024-06-20 00:59:24,40.81,84.19,18,新疆巴音郭楞州尉犁县
3.9,2024-06-18 21:42:52,35.19,87.82,10,西藏那曲市双湖县
2.8,2024-06-18 20:31:31,34.33,107.8,15,陕西宝鸡市扶风县
4.0,2024-06-18 11:46:57,24.13,121.9,19,台湾花莲县海域
4.2,2024-06-16 13:39:00,39.08,75.27,27,新疆克孜勒苏州阿克陶县
3.6,2024-06-16 12:15:56,43.46,81.45,20,新疆伊犁州察布查尔县
3.2,2024-06-15 22:24:27,39.9,77.33,18,新疆克孜勒苏州阿图什市
2.9,2024-06-15 09:52:40,29.45,104.8,11,四川自贡市大安区
4.2,2024-06-15 07:24:16,34.09,86.47,10,西藏那曲市尼玛县
3.2,2024-06-14 14:26:40,40.85,84.08,15,新疆巴音郭楞州尉犁县
3.0,2024-06-14 06:02:28,27.01,103.4,10,云南昭通市巧家县
3.1,2024-06-14 00:49:08,35.81,80.69,12,新疆和田地区策勒县
3.4,2024-06-13 03:22:34,34.77,88.12,10,西藏那曲市双湖县
3.1,2024-06-13 01:47:18,34.11,86.37,10,西藏那曲市尼玛县
3.2,2024-06-12 15:31:05,32.49,93.56,10,西藏那曲市巴青县
4.7,2024-06-12 11:48:15,33.61,97.46,10,四川甘孜州石渠县
4.2,2024-06-12 05:51:32,23.81,121.67,20,台湾花莲县海域
3.1,2024-06-11 20:43:03,40.83,84.17,10,新疆巴音郭楞州尉犁县
3.0,2024-06-11 02:35:11,41.22,83.37,19,新疆阿克苏地区库车市
5.0,2024-06-11 01:35:24,40.89,84.15,20,新疆巴音郭楞州尉犁县
2.5,2024-06-10 07:58:23,36.43,114.02,10,河北邯郸市磁县
3.1,2024-06-10 04:06:51,39.95,83.39,15,新疆阿克苏地区沙雅县
4.0,2024-06-10 00:01:16,34.26,86.55,10,西藏那曲市尼玛县
3.4,2024-06-09 12:35:05,27.64,93.17,10,西藏山南市错那市
4.0,2024-06-09 11:43:45,46.58,119.31,20,内蒙古锡林郭勒盟东乌珠穆沁旗
3.5,2024-06-08 11:16:34,26.3,118.15,8,福建三明市尤溪县
3.1,2024-06-08 05:50:56,46.1,118.11,15,内蒙古锡林郭勒盟东乌珠穆沁旗
3.0,2024-06-07 20:25:30,41.38,83.85,10,新疆阿克苏地区库车市
4.2,2024-06-07 20:23:03,32.12,101.27,11,四川阿坝州壤塘县
3.0,2024-06-06 17:50:56,40.79,84.14,14,新疆巴音郭楞州尉犁县
3.6,2024-06-06 15:04:05,40.82,84.13,10,新疆巴音郭楞州尉犁县
3.1,2024-06-06 12:08:38,41.21,83.7,13,新疆阿克苏地区库车市
3.2,2024-06-05 21:00:15,40.96,106.76,14,内蒙古巴彦淖尔市乌拉特后旗
3.8,2024-06-05 20:05:15,32.63,86.05,10,西藏那曲市尼玛县
3.1,2024-06-05 01:42:42,34.1,86.39,10,西藏那曲市尼玛县
3.7,2024-06-05 01:00:51,40.28,77.09,30,新疆克孜勒苏州阿图什市
3.0,2024-06-04 12:14:09,27.4,101.74,8,四川凉山州盐源县
3.6,2024-06-04 02:54:02,34.22,86.42,10,西藏那曲市尼玛县
3.3,2024-06-04 00:45:54,36.76,76.94,93,新疆喀什地区叶城县
4.1,2024-06-02 09:27:24,23.75,121.67,10,台湾花莲县海域
3.2,2024-06-01 20:37:50,34.41,86.45,10,西藏那曲市尼玛县
3.7,2024-06-01 18:58:56,34.23,86.33,10,西藏那曲市尼玛县
3.0,2024-06-01 11:15:18,34.54,86.65,10,西藏那曲市尼玛县
3.8,2024-06-01 10:59:54,34.47,86.42,10,西藏那曲市尼玛县
5.9,2024-06-01 08:46:37,34.14,86.36,8,西藏那曲市尼玛县
4.2,2024-06-01 08:32:38,24.35,122.08,10,台湾宜兰县海域
5.2,2024-06-01 01:10:59,24.01,121.59,10,台湾花莲县
3.1,2024-05-31 15:21:25,40.81,79.08,12,新疆阿克苏地区柯坪县
3.1,2024-05-31 07:24:19,40.87,79.01,16,新疆阿克苏地区柯坪县
3.7,2024-05-31 01:10:20,28.21,100.66,8,四川凉山州木里县
4.0,2024-05-30 23:52:16,23.95,121.75,32,台湾花莲县海域
3.1,2024-05-30 15:31:28,41.02,83.35,20,新疆阿克苏地区沙雅县
3.0,2024-05-30 11:24:26,36.59,82.48,10,新疆和田地区于田县
4.5,2024-05-30 09:11:38,24.2,121.79,32,台湾花莲县海域
4.3,2024-05-30 07:54:44,24.01,121.86,17,台湾花莲县海域
3.7,2024-05-30 06:45:22,41.04,83.35,20,新疆阿克苏地区沙雅县
3.0,2024-05-30 06:38:38,28.25,100.68,14,四川凉山州木里县
4.1,2024-05-29 09:05:10,41.28,84.0,16,新疆阿克苏地区库车市
3.6,2024-05-28 09:13:02,30.16,81.26,10,西藏阿里地区普兰县
3.2,2024-05-27 21:53:34,28.48,96.33,10,西藏林芝市察隅县
3.0,2024-05-27 18:47:45,28.23,100.69,10,四川凉山州木里县
4.1,2024-05-27 18:39:16,28.24,100.67,8,四川凉山州木里县
4.5,2024-05-27 18:37:10,28.24,100.7,8,四川凉山州木里县
3.0,2024-05-27 16:43:55,28.24,100.69,9,四川凉山州木里县
4.4,2024-05-27 16:25:34,28.25,100.68,9,四川凉山州木里县
5.0,2024-05-27 11:07:10,28.25,100.7,8,四川凉山州木里县
3.8,2024-05-27 07:02:52,30.56,86.31,10,西藏日喀则市昂仁县
3.7,2024-05-27 06:19:56,40.87,78.25,10,新疆克孜勒苏州阿合奇县
3.9,2024-05-27 01:54:51,38.29,75.17,125,新疆克孜勒苏州阿克陶县
3.0,2024-05-26 19:10:29,29.24,105.52,15,四川泸州市泸县
3.1,2024-05-26 06:03:33,36.78,77.06,90,新疆喀什地区叶城县
3.0,2024-05-25 17:28:55,40.87,83.96,13,新疆阿克苏地区库车市
4.4,2024-05-25 01:07:10,24.22,121.84,21,台湾花莲县海域
3.1,2024-05-24 21:15:42,32.35,95.55,9,青海玉树州囊谦县
3.0,2024-05-24 07:27:10,41.82,82.43,21,新疆阿克苏地区拜城县
3.0,2024-05-24 05:40:53,41.83,82.43,20,新疆阿克苏地区拜城县
3.4,2024-05-24 04:17:50,41.78,82.43,18,新疆阿克苏地区拜城县
3.4,2024-05-24 01:38:26,41.77,82.45,17,新疆阿克苏地区拜城县
3.6,2024-05-24 00:11:14,41.84,82.48,20,新疆阿克苏地区拜城县
3.8,2024-05-24 00:05:56,41.84,82.49,20,新疆阿克苏地区拜城县
3.2,2024-05-23 23:38:45,41.83,82.44,15,新疆阿克苏地区拜城县
3.2,2024-05-23 23:22:52,41.76,82.42,10,新疆阿克苏地区拜城县
3.3,2024-05-23 23:07:30,41.79,82.43,22,新疆阿克苏地区拜城县
3.2,2024-05-23 22:46:15,41.82,82.45,15,新疆阿克苏地区拜城县
4.5,2024-05-23 22:30:13,41.83,82.45,15,新疆阿克苏地区拜城县
5.0,2024-05-22 16:00:42,23.8,121.74,10,台湾花莲县海域
3.2,2024-05-22 12:22:47,40.35,82.61,10,新疆阿克苏地区沙雅县
3.0,2024-05-22 00:54:09,27.19,102.99,10,云南昭通市巧家县
3.4,2024-05-21 09:38:36,29.78,102.02,11,四川甘孜州泸定县
3.0,2024-05-21 07:39:22,29.78,102.02,11,四川甘孜州泸定县
3.8,2024-05-21 05:26:59,33.64,81.92,10,西藏阿里地区日土县
3.3,2024-05-21 02:31:31,41.33,78.99,11,新疆阿克苏地区乌什县
3.0,2024-05-20 15:19:37,40.36,77.03,19,新疆克孜勒苏州阿图什市
5.2,2024-05-20 13:10:22,40.28,77.05,19,新疆克孜勒苏州阿图什市
3.6,2024-05-19 08:45:55,41.73,79.44,15,新疆阿克苏地区乌什县
4.6,2024-05-19 03:38:48,36.42,77.1,10,新疆喀什地区叶城县
3.9,2024-05-19 03:35:44,40.35,113.78,13,山西大同市阳高县
3.3,2024-05-18 15:10:17,40.91,78.25,10,新疆克孜勒苏州阿合奇县
3.4,2024-05-16 15:56:07,39.28,97.24,8,甘肃酒泉市肃北县
3.0,2024-05-15 08:49:10,31.55,104.05,13,四川德阳市绵竹市
3.1,2024-05-13 04:11:13,28.25,100.68,11,四川凉山州木里县
3.1,2024-05-12 14:00:43,41.26,83.78,13,新疆阿克苏地区库车市
3.4,2024-05-12 13:52:54,41.25,83.79,13,新疆阿克苏地区库车市
3.1,2024-05-12 02:32:14,31.99,117.6,15,安徽合肥市肥东县
4.4,2024-05-11 17:44:39,23.99,121.77,17,台湾花莲县海域
3.7,2024-05-11 15:11:37,40.77,83.93,11,新疆阿克苏地区沙雅县
4.5,2024-05-11 13:16:01,23.85,121.73,8,台湾花莲县海域
2.4,2024-05-10 17:21:59,38.51,116.54,13,河北廊坊市大城县
5.6,2024-05-10 15:45:19,24.22,121.89,10,台湾花莲县海域
4.2,2024-05-10 09:52:25,37.6,75.0,10,新疆喀什地区塔什库尔干县
4.6,2024-05-10 09:37:24,23.86,121.59,10,台湾花莲县
4.6,2024-05-10 09:35:39,23.76,121.64,10,台湾花莲县海域
3.1,2024-05-09 15:33:08,33.39,86.93,10,西藏那曲市尼玛县
3.0,2024-05-09 09:42:14,41.26,83.28,14,新疆阿克苏地区库车市
4.2,2024-05-08 19:31:23,24.1,122.56,20,台湾花莲县海域
3.0,2024-05-08 18:47:38,40.31,77.06,30,新疆克孜勒苏州阿图什市
4.3,2024-05-08 16:40:44,23.71,121.61,9,台湾花莲县海域
3.6,2024-05-08 10:26:46,44.18,123.85,12,吉林松原市长岭县
5.2,2024-05-06 17:52:46,23.7,121.57,25,台湾花莲县海域
5.3,2024-05-06 17:45:32,23.71,121.62,20,台湾花莲县海域
3.1,2024-05-06 08:54:10,40.76,83.94,10,新疆阿克苏地区沙雅县
3.4,2024-05-02 22:18:37,41.38,83.85,10,新疆阿克苏地区库车市
4.5,2024-05-02 10:07:27,22.5,121.46,10,台湾台东县海域
3.1,2024-05-02 07:09:18,41.89,82.26,20,新疆阿克苏地区拜城县
4.5,2024-05-02 03:17:23,40.89,78.36,10,新疆克孜勒苏州阿合奇县
3.4,2024-05-01 03:22:55,30.54,83.73,10,西藏日喀则市仲巴县
3.0,2024-04-30 11:11:47,40.78,78.58,10,新疆克孜勒苏州阿合奇县
3.1,2024-04-30 10:23:53,40.29,83.96,18,新疆阿克苏地区沙雅县
2.8,2024-04-30 07:52:46,33.46,107.69,10,陕西汉中市洋县
3.1,2024-04-29 21:55:43,28.14,92.63,10,西藏山南市隆子县
3.1,2024-04-29 20:06:19,40.99,78.31,10,新疆克孜勒苏州阿合奇县
4.0,2024-04-29 01:40:20,24.14,121.77,31,台湾花莲县海域
3.2,2024-04-28 20:09:15,41.37,78.96,10,新疆阿克苏地区乌什县
4.4,2024-04-28 19:31:09,41.33,78.98,14,新疆阿克苏地区乌什县
4.4,2024-04-28 11:43:50,38.27,122.96,30,黄海海域
