zhenji,time,weidu,jingdu,shendu,place
4,2024/4/22 19:22,24,122,10,台湾花莲县海域
5,2024/4/22 19:13,24,122,11,台湾花莲县海域
4,2024/4/22 19:10,24,122,8,台湾花莲县海域
6,2024/4/22 18:50,24,122,10,台湾花莲县
5,2024/4/22 18:49,24,122,10,台湾花莲县海域
5,2024/4/22 18:46,24,122,10,台湾花莲县海域
5,2024/4/22 17:52,24,122,9,台湾花莲县海域
5,2024/4/22 17:17,24,121,10,台湾花莲县
5,2024/4/22 17:15,24,121,10,台湾花莲县
5,2024/4/22 17:12,24,122,8,台湾花莲县
5,2024/4/22 17:08,24,122,10,台湾花莲县海域
3,2024/4/22 6:43,44,87,25,新疆乌鲁木齐市乌鲁木齐县（有感）
3,2024/4/22 6:12,44,87,21,新疆乌鲁木齐市乌鲁木齐县（有感）
3,2024/4/22 0:38,41,79,10,新疆阿克苏地区乌什县
5,2024/4/22 0:35,24,122,9,台湾花莲县
4,2024/4/21 15:20,40,74,11,新疆克孜勒苏州乌恰县
3,2024/4/21 11:47,39,75,10,新疆克孜勒苏州阿克陶县
5,2024/4/21 10:40,23,122,20,台湾花莲县海域
3,2024/4/21 10:09,38,76,100,新疆喀什地区塔什库尔干县
4,2024/4/20 9:44,34,82,10,西藏阿里地区日土县
4,2024/4/19 22:25,24,122,18,台湾宜兰县海域
4,2024/4/19 13:27,42,82,9,新疆阿克苏地区拜城县
3,2024/4/19 7:55,28,102,14,四川凉山州冕宁县
4,2024/4/19 5:54,25,100,10,云南大理州巍山县
3,2024/4/19 1:52,34,82,10,西藏阿里地区日土县
4,2024/4/19 1:44,34,82,10,西藏阿里地区日土县
5,2024/4/19 1:40,33,82,10,西藏阿里地区日土县
3,2024/4/18 23:33,38,76,135,新疆克孜勒苏州阿克陶县
3,2024/4/18 15:43,34,82,10,西藏阿里地区日土县
3,2024/4/18 10:13,34,85,10,西藏阿里地区改则县
